key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
252,January,Economy,EEA,UK,108.48,JET2COM,Immigration Group
253,January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
254,January,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT
255,January,Economy,UK,UK,101.54,BRITISH AIRWAYS,Criminal & Detention Group
256,March,Economy,UK,UK,95.34,FLYBE BRITISH EUROPEAN,OSCT
257,January,Business Class,UK,Non EEA,2990.27,ETIHAD AIRWAYS,International Group
258,February,Economy,UK,UK,164.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
259,January,Economy,UK,UK,113.43,BRITISH AIRWAYS,Strategic Director Border
260,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group
261,March,Economy,UK,UK,151.49,BRITISH AIRWAYS,Strategy & Reform Directorate
262,January,Economy,UK,UK,119.7,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
263,January,Economy,UK,EEA,417.7,BRITISH AIRWAYS,UKBA
264,January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
265,January,Economy,UK,UK,161.43,BRITISH AIRWAYS,Strategic Director Border
266,January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group
267,January,Economy,UK,UK,208.05,FLYBE BRITISH EUROPEAN,Immigration Group
268,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group
269,January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group
270,February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group
271,January,Economy,UK,UK,182,BMI,Strategic Director Border
272,January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group
273,February,Economy,UK,UK,81.54,BRITISH AIRWAYS,Strategy & Reform Directorate
274,January,Economy,EEA,UK,214.1,BRITISH AIRWAYS,Crime & Policing Group
275,February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border
276,January,Economy,UK,UK,210.1,BMI,Strategy & Reform Directorate
277,January,Economy,UK,EEA,160.59,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border
278,January,Economy,UK,UK,139.62,BRITISH AIRWAYS,Strategic Director Border
279,January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,Resource Management Group
280,January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group
281,February,Economy,UK,UK,39.7,BRITISH AIRWAYS,OSCT
282,February,Economy,UK,UK,220.5,BRITISH AIRWAYS,HMIC
283,February,Economy,UK,UK,83.2,FLYBE BRITISH EUROPEAN,OSCT
284,January,Economy,UK,UK,150.43,BRITISH AIRWAYS,Finance & Commercial Group
285,January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group
