CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S3789,MCHUNGAJI MWEMA SECONDARY SCHOOL,Kagera,Lake,40,40,40,40,100,green,2.7503,4,7,167,473
S5097,ALCP KILASARA SECONDARY SCHOOL,Kilimanjaro,Northern,102,102,102,102,100,green,2.7519,4,,168,
S5345,DE PAUL MBANGAMAO SECONDARY SCHOOL,Ruvuma,Southern Highlands,52,52,52,52,100,green,2.7537,4,,169,
S2348,ILALA ISLAMIC SECONDARY SCHOOL,Dar es Salaam,Coastal,40,40,40,40,100,green,2.7548,4,4,170,118
S3885,WENDA HIGH SCHOOL,Mbeya,Southern Highlands,115,115,115,115,100,green,2.7584,4,5,171,172
S0578,TAQWA SECONDARY SCHOOL,Mwanza,Lake,265,257,257,257,100,green,2.7599,4,5,172,168
S0192,ST. JOHN'S SEMINARY,Singida,Central,53,53,53,53,100,green,2.7638,4,5,173,205
S2211,MWILAMVYA SECONDARY SCHOOL,Kigoma,Lake,80,80,80,80,100,green,2.7725,4,4,174,94
S4087,WIZA SECONDARY SCHOOL,Mbeya,Southern Highlands,57,57,57,57,100,green,2.7739,4,4,175,119
S3490,ST. BAKANJA  SECONDARY SCHOOL,Kigoma,Lake,141,141,141,141,100,green,2.7827,4,6,176,238
S3491,BUKOBA LUTHERAN SECONDARY SCHOOL,Kagera,Lake,82,82,82,82,100,green,2.7858,4,4,177,125
S0294,MT.CARMEL  SECONDARY SCHOOL,Kigoma,Lake,95,95,95,95,100,green,2.7903,4,4,178,126
S0825,MUDIO ISLAMIC SEMINARY,Kilimanjaro,Northern,84,84,84,84,100,green,2.7907,4,4,179,132
S0719,MASONGA SECONDARY SCHOOL,Mara ,Southern Highlands,62,62,62,62,100,green,2.7943,4,5,180,183
S0513,MIHAYO SECONDARY SCHOOL,Tabora,Central,123,122,122,122,100,green,2.7982,4,5,181,193
S0122,KILIMANJARO BOYS SECONDARY SCHOOL,Kilimanjaro,Northern,100,98,98,98,100,green,2.8013,4,,182,
S0622,KUNDUCHI GIRLS ISLAMIC HIGH SCHOOL,Dar es Salaam,Coastal,74,74,74,74,100,green,2.8062,4,6,183,241
S0380,UCHAMA SECONDARY SCHOOL,Tabora,Central,58,58,58,58,100,green,2.8086,4,6,184,291
S0499,OLALENI SECONDARY SCHOOL,Kilimanjaro,Northern,101,101,101,101,100,green,2.8094,4,4,185,128
S4673,WESTERN TANGANYIKA SECONDARY SCHOOL,Kigoma,Lake,73,72,72,72,100,green,2.8106,4,6,186,310
S1822,ANNAGAMAZO SECONDARY SCHOOL,Arusha,Northern,76,76,76,76,100,green,2.8173,4,5,187,192
S4860,ST.THOMAS NYABULA SECONDARY SCHOOL,Iringa,Southern Highlands,43,42,42,42,100,green,2.8175,4,5,188,161
S1689,PEACE SECONDARY SCHOOL,Kagera,Lake,163,163,163,163,100,green,2.8195,4,4,189,120
