Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,5180.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,2284.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,285.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,11441.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,934.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,3552.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,1392.8,
FCO,FCO,2010-04-23T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,5056.15,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-3822.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-5180.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-2284.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-285.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-11441.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-934.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-3552.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-1392.8,
FCO,FCO,2010-04-23T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,-5056.15,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,76.3,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,5180.0,
